Total Tests,Range Test Size,Number of Segments Test Size,Runtime
4656.0,582.0,8.0,3.0780446529388428
4032.0,336.0,12.0,2.4739460945129395
5376.0,336.0,16.0,3.1110007762908936
3696.0,336.0,11.0,1.9060518741607666
2352.0,336.0,7.0,1.251051425933838
2016.0,336.0,6.0,1.2660009860992432
7056.0,336.0,21.0,3.7290523052215576
5712.0,336.0,17.0,3.3279919624328613
6720.0,336.0,20.0,3.4680044651031494
1344.0,336.0,4.0,0.7370593547821045
1008.0,336.0,3.0,0.6100578308105469
2688.0,336.0,8.0,1.3570518493652344
6276.0,523.0,12.0,3.2250583171844482
8368.0,523.0,16.0,3.885972023010254
5753.0,523.0,11.0,3.039999485015869
3661.0,523.0,7.0,2.368997812271118
3138.0,523.0,6.0,1.50600004196167
10983.0,523.0,21.0,5.639999628067017
8891.0,523.0,17.0,4.369061231613159
10460.0,523.0,20.0,5.202998876571655
2092.0,523.0,4.0,1.3599998950958252
1569.0,523.0,3.0,1.0110599994659424
4184.0,523.0,8.0,2.0379467010498047
7716.0,643.0,12.0,4.054996490478516
10288.0,643.0,16.0,6.239997625350952
7073.0,643.0,11.0,4.870053768157959
4501.0,643.0,7.0,2.613945960998535
3858.0,643.0,6.0,1.9389994144439697
13503.0,643.0,21.0,6.191993474960327
10931.0,643.0,17.0,5.977998971939087
12860.0,643.0,20.0,6.757053375244141
2572.0,643.0,4.0,0.9550516605377197
1929.0,643.0,3.0,0.37905168533325195
5144.0,643.0,8.0,2.682950973510742
9792.0,816.0,12.0,5.631998777389526
13056.0,816.0,16.0,6.89305305480957
8976.0,816.0,11.0,4.284052133560181
5712.0,816.0,7.0,2.4549996852874756
4896.0,816.0,6.0,2.474001884460449
17136.0,816.0,21.0,8.586992979049683
13872.0,816.0,17.0,7.292998313903809
16320.0,816.0,20.0,7.847059488296509
3264.0,816.0,4.0,1.7209997177124023
2448.0,816.0,3.0,1.7129945755004883
6528.0,816.0,8.0,3.2710533142089844
6744.0,562.0,12.0,2.7450003623962402
8992.0,562.0,16.0,3.95805287361145
6182.0,562.0,11.0,3.82393741607666
3934.0,562.0,7.0,2.574052095413208
3372.0,562.0,6.0,1.7099854946136475
11802.0,562.0,21.0,5.976014137268066
9554.0,562.0,17.0,4.632996320724487
11240.0,562.0,20.0,7.2430009841918945
2248.0,562.0,4.0,1.1110525131225586
1686.0,562.0,3.0,1.0829987525939941
4496.0,562.0,8.0,2.2059988975524902
5352.0,446.0,12.0,2.5570156574249268
7136.0,446.0,16.0,3.3900511264801025
4906.0,446.0,11.0,2.4979989528656006
3122.0,446.0,7.0,2.159052848815918
2676.0,446.0,6.0,1.3599989414215088
9366.0,446.0,21.0,4.51197361946106
7582.0,446.0,17.0,3.7210471630096436
8920.0,446.0,20.0,4.103999376296997
1784.0,446.0,4.0,0.9640541076660156
1338.0,446.0,3.0,0.4810001850128174
3568.0,446.0,8.0,1.9120512008666992
8388.0,699.0,12.0,4.342056751251221
11184.0,699.0,16.0,5.446999549865723
7689.0,699.0,11.0,4.441059589385986
4893.0,699.0,7.0,1.5789990425109863
4194.0,699.0,6.0,2.326991558074951
14679.0,699.0,21.0,7.222053050994873
11883.0,699.0,17.0,6.674945831298828
13980.0,699.0,20.0,6.404026985168457
2796.0,699.0,4.0,1.0610041618347168
2097.0,699.0,3.0,1.128995418548584
5592.0,699.0,8.0,3.4930527210235596
6228.0,519.0,12.0,3.5650527477264404
8304.0,519.0,16.0,4.365999937057495
5709.0,519.0,11.0,3.35705304145813
3633.0,519.0,7.0,2.11000394821167
3114.0,519.0,6.0,1.8160598278045654
10899.0,519.0,21.0,5.904993057250977
8823.0,519.0,17.0,5.301999092102051
10380.0,519.0,20.0,5.738998889923096
2076.0,519.0,4.0,1.0669970512390137
1557.0,519.0,3.0,0.9459974765777588
4152.0,519.0,8.0,2.331998348236084
5940.0,495.0,12.0,3.1510019302368164
7920.0,495.0,16.0,3.868997097015381
5445.0,495.0,11.0,2.9610166549682617
3465.0,495.0,7.0,1.7310585975646973
2970.0,495.0,6.0,1.8399395942687988
10395.0,495.0,21.0,6.002001047134399
8415.0,495.0,17.0,4.86505126953125
9900.0,495.0,20.0,4.7910521030426025
1980.0,495.0,4.0,1.1570510864257812
1485.0,495.0,3.0,1.1140000820159912
3960.0,495.0,8.0,1.974998950958252
1452.0,121.0,12.0,0.8199994564056396
1936.0,121.0,16.0,0.9599993228912354
1331.0,121.0,11.0,0.6619386672973633
847.0,121.0,7.0,0.5669465065002441
726.0,121.0,6.0,0.4399993419647217
2541.0,121.0,21.0,1.208052635192871
2057.0,121.0,17.0,1.1680526733398438
2420.0,121.0,20.0,1.2089974880218506
484.0,121.0,4.0,0.2980053424835205
363.0,121.0,3.0,0.15599417686462402
968.0,121.0,8.0,0.4620535373687744
5388.0,449.0,12.0,2.7159359455108643
7184.0,449.0,16.0,3.668996572494507
4939.0,449.0,11.0,3.047053813934326
3143.0,449.0,7.0,1.7790000438690186
2694.0,449.0,6.0,1.3240313529968262
9429.0,449.0,21.0,4.77405309677124
7633.0,449.0,17.0,3.9749903678894043
8980.0,449.0,20.0,5.4430506229400635
1796.0,449.0,4.0,1.3040006160736084
1347.0,449.0,3.0,0.857003927230835
3592.0,449.0,8.0,1.6300532817840576
1188.0,99.0,12.0,0.7279889583587646
1584.0,99.0,16.0,0.8109993934631348
1089.0,99.0,11.0,0.4350597858428955
693.0,99.0,7.0,0.339998722076416
594.0,99.0,6.0,0.24897122383117676
2079.0,99.0,21.0,1.0689995288848877
1683.0,99.0,17.0,1.0010526180267334
1980.0,99.0,20.0,1.1650516986846924
396.0,99.0,4.0,0.177947998046875
297.0,99.0,3.0,0.1249992847442627
792.0,99.0,8.0,0.41798949241638184
2388.0,199.0,12.0,1.0200047492980957
3184.0,199.0,16.0,1.7820477485656738
2189.0,199.0,11.0,1.0599939823150635
1393.0,199.0,7.0,0.8899450302124023
1194.0,199.0,6.0,0.43305349349975586
4179.0,199.0,21.0,2.0309982299804688
3383.0,199.0,17.0,1.6140007972717285
3980.0,199.0,20.0,2.2569448947906494
796.0,199.0,4.0,0.2990000247955322
597.0,199.0,3.0,0.3169991970062256
1592.0,199.0,8.0,0.913053035736084
8328.0,694.0,12.0,3.7129993438720703
11104.0,694.0,16.0,5.186946392059326
7634.0,694.0,11.0,4.138004302978516
4858.0,694.0,7.0,2.6080524921417236
4164.0,694.0,6.0,1.4210598468780518
14574.0,694.0,21.0,8.115941047668457
11798.0,694.0,17.0,7.3570005893707275
13880.0,694.0,20.0,6.406946420669556
2776.0,694.0,4.0,1.5580527782440186
2082.0,694.0,3.0,1.449998378753662
5552.0,694.0,8.0,2.1530535221099854
408.0,34.0,12.0,0.21294522285461426
544.0,34.0,16.0,0.2810499668121338
374.0,34.0,11.0,0.21300530433654785
238.0,34.0,7.0,0.11705183982849121
